id,title,authors,year,search_string,v1_decision,v1_reason
1,Notice of Violation of IEEE Publication Principles: Mobile Application Development: Automated Test Input Generation Via Model Inference based on User Story and Acceptance Criteria,H. Iqbal,2019,String A & String B,EXCLUDE,EC1: Duplicate (trùng paper đã có)
2,Agile testing using user language automation with artificial intelligence in Enjisst,D. T. Penagos; N. Agudelo,2024,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
3,Generating Robot Framework Test Scripts from User Stories and Scenarios for Web Application Testing,K. Waitchasarn; A. Thongtak; T. Suwannasart,2023,String A,INCLUDE,Đáp ứng IC1 đến IC5
4,Bridging the Gap between Requirements Modeling and Behavior-Driven Development,M. Alferez; F. Pastore; M. Sabetzadeh; L. Briand; J. -R. Riccardi,2019,String A,INCLUDE,Đáp ứng IC1 đến IC5
5,Domain Specific Modelling and Language for Safety-Critical and Security-Critical Requirements Engineering,V. Sklyar; V. Kharchenko,2022,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
6,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,D. Stojanović; B. Pavković; N. Četić; M. Krunić; L. Vidaković,2024,String A,INCLUDE,Đáp ứng IC1 đến IC5
7,Approach to Generating Functional Test Cases from BPMN Process Diagrams,P. von Olberg; L. Strey,2022,String A,INCLUDE,Đáp ứng IC1 đến IC5
8,"GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio",R. B. Bahaweres; N. U. Hasanah,2025,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
9,Exploring Large Language Models for Requirements on String Values,A. A. Babikian; B. Chen; G. Mussbacher,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
10,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,S. B. Patel; S. Nigam; S. Mahale,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
11,Object Oriented BDD and Executable Human-Language Module Specification,E. Lee; J. Gong; Q. Cao,2023,String A,INCLUDE,Đáp ứng IC1 đến IC5
12,Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study,P. L. Fonseca; B. Lima; J. P. Faria,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
13,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Y. Hachaïchi; M. A. Ouerghi,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
14,Integrated and Iterative Requirements Analysis and Test Specification: A Case Study at Kostal,C. Wiecher; J. Fischbadh; J. Greenyer; A. Vogelsang; C. Wolff; R. Dumitrescu,2021,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
15,Behave Nicely! Automatic Generation of Code for Behaviour Driven Development Test Suites,T. Storer; R. Bob,2019,String A,INCLUDE,Đáp ứng IC1 đến IC5
16,Acceptance Test Generation with Large Language Models: An Industrial Case Study,M. Ferreira; L. Viegas; J. P. Faria; B. Lima,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
17,AI driven Test Scenario Generator,A. Chatterjee,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
18,Impacts of behavioral driven development in the improvement of quality software deliverables,A. Sheshasaayee; P. Banumathi,2018,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
19,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,S. B. Nettur; S. Karpurapu; U. Nettur; L. S. Gajja,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
20,Test Requirement Modeling and Verification Method Oriented Towards Intelligent Characteristics of Autonomous Unmanned Equipment,J. You; J. Tong; T. Yang; H. Wang,2025,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
21,BDD Meets SAT: Binary Hybrid Diagrams for Efficient Generation of Multiple Solutions,R. Krauss; L. Müller; M. Marach; R. Drechsler,2025,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
22,Generation of Series-Parallel Multilevel Transistor Networks Based on BDDs,H. Wu; Y. Liu; Q. Zeng,2023,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
23,An Analysis of Behaviour-Driven Requirement Specification for Robotic Competitions,M. Nguyen; N. Hochgeschwender; S. Wrede,2023,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
24,Towards Modelling Acceptance Tests as a Support for Software Measurement,A. Lapointe-Boisvert; S. Mosser; S. Trudel,2021,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
25,Automatic Inductive Invariant Generation for Scalable Dataflow Circuit Verification,J. Xu; L. Josipović,2023,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
26,Behavior-driven Development for Real-time Embedded Systems,A. S. Nezhad; J. J. Lukkien; R. H. Mak,2018,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
27,An efficient SAT-based algorithm for finding short cycles in cryptographic algorithms,E. Dubrova; M. Teslenko,2018,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
28,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,J. Jagielski; C. Rojas; M. Abel,2025,String A & String B,INCLUDE,Đáp ứng IC1 đến IC5
29,Behavior Driven Development: A Systematic Literature Review,M. S. Farooq; U. Omer; A. Ramzan; M. A. Rasheed; Z. Atal,2023,String A & String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
30,Polynomial Formal Verification of Sequential Circuits,C. Dominik; R. Drechsler,2024,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
31,VIBE Project Management: An Autonomous AI-Driven Framework for Intelligent Agile Project Orchestration,S. Palaniappan; G. Kacheru,2026,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
32,An Enhanced Algorithm for Variable Reordering in Binary Decision Diagrams,C. Varma,2018,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
33,Automating Physics-Based Reasoning for SysML Model Validation,C. Chambers; S. Mueller; P. Ganeriwala; C. Sen; S. Bhattacharyya,2025,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
34,A Lane Segmentation and Traffic Object Detection Multi-task Neural Network for AR-HUD,F. Huizong; W. Xin; F. Mingchi; B. Chuanxia,2021,String A,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
35,Automated Behaviour-Driven Acceptance Testing of Robotic Systems,M. Nguyen; S. Wrede; N. Hochgeschwender,2025,String A,INCLUDE,Đáp ứng IC1 đến IC5
36,Improved BDD Binary Logic Algorithm: Hidden BDD Algorithm,Z. -X. Gao; Z. -L. Wang; Y. Ren; D. -Z. Yang; L. -L. Liu; Q. Feng; B. Sun,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
37,Behavior Driven Development Approach in the Modern Quality Control Process,O. Bezsmertnyi; N. Golian; V. Golian; I. Afanasieva,2020,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
38,Semantic-Contextual Automation of Scriptless BDD Testing for Intelligent Test Coverage Enhancement,S. S. Murugan; M. Balamurugan,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
39,The Behavior Driven Development Applied to the Software Quality Test:,M. G. Cavalcante; J. I. Sales,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
40,An Adaptive Metric for Node Substitution-Based BDD Minimization,A. U. Hassen; F. A. Khan,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
41,Agentic BDD Testing of Dialog Systems: Stabilizing the Dialog Manager via Failure-Driven Evolution,O. Dukić; O. Ristić,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
42,SPEcBCFuzz: Fuzzing LTL Solvers with Boundary Conditions,L. Carvalho; R. Degiovanni; M. Cordy; N. Aguirre; Y. L. Traon; M. Papadakis,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
43,Assessing The Effectiveness Of Test-Driven Development and Behavior-Driven Development in an Industry Setting,A. S. Dookhun; L. Nagowah,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
44,Investigation of The Influence of Data Acquisition Conditions on the Quality of the CNN-Based Vision System,A. Arhipov; I. Fomin,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
45,A BDD-Based Analysis Method for Probabilistic Competing Failures of Multi-State Sensor Array System,L. Chen; L. Zhang,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
46,ISSAFE: Improving Semantic Segmentation in Accidents by Fusing Event-based Data,J. Zhang; K. Yang; R. Stiefelhagen,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
47,Enhancing the Student Learning Experience by Adopting TDD and BDD in Course Projects,F. G. Rocha; L. S. Souza; T. S. Silva; G. Rodríguez,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
48,Visual Test Framework: Enhancing Software Test Automation with Visual Artificial Intelligence and Behavioral Driven Development,R. K. C. Ragel; F. F. Balahadia,2023,String B,INCLUDE,Đáp ứng IC1 đến IC5
49,Scenario-Based Microservice Retrieval Using Word2Vec,S. -P. Ma; Y. Chuang; C. -W. Lan; H. -M. Chen; C. -Y. Huang; C. -Y. Li,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
50,Assessing the Quality of Behavior-Driven Development Scenarios Using BERT,N. Alinezhadtilaki; C. Evans,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
51,"Locate, Execute, Expect Design Pattern",A. -M. Vadan; L. C. Miclea,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
52,Learning Efficient Unsupervised Satellite Image-based Building Damage Detection,Y. Zhang; Z. Wang; Y. Luo; X. Yu; Z. Huang,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
53,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",M. Galloy; M. Balfroid; B. Vanderose; X. Devroey,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
54,Approach for Generating and Executing Acceptance Tests Based on Computer Vision and GPT-4,J. Quispe; H. Cordova; L. Wong,2026,String B,INCLUDE,Đáp ứng IC1 đến IC5
55,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,L. I. Matveeva; V. Kunštár; K. Jelemenská; P. Čičák,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
56,A fast BDD Minimization Framework for Approximate Computing,A. Wendler; O. Keszocze,2020,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
57,"BDD-Based Error Metric Analysis, Computation and Optimization",O. Keszocze,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
58,Acceptance Tests over Microservices Architecture using Behaviour-Driven Development,H. R. Lima; K. C. Souza; L. V. de Paula; L. M. C. e Martins; W. F. Giozza; R. T. de Sousa,2021,String B,INCLUDE,Đáp ứng IC1 đến IC5
59,Polynomial Formal Verification of a Processor: A RISC-V Case Study,L. Weingarten; A. Mahzoon; M. Goli; R. Drechsler,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
60,Behavior-driven development (BDD) Cucumber Katalon for Automation GUI testing case CURA and Swag Labs,R. Broer Bahaweres; E. Oktaviani; L. Kesuma Wardhani; I. Hermadi; A. Suroso; I. Permana Solihin; Y. Arkeman,2020,String B,INCLUDE,Đáp ứng IC1 đến IC5
61,Towards Code Generation from BDD Test Case Specifications: A Vision,L. Chemnitz; D. Reichenbach; H. Aldebes; M. Naveed; K. Narasimhan; M. Mezini,2023,String B,INCLUDE,Đáp ứng IC1 đến IC5
62,Applicability of the ViMoTest Approach for Automated GUI Testing: A Field Study,M. Fuksa; S. Speth; S. Becker,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
63,Enhancing Acceptance Test-Driven Development with Model-Based Test Generation,R. Ramler; C. Klammer,2019,String B,INCLUDE,Đáp ứng IC1 đến IC5
64,Segmenting against Dense Distribution and Occlusion in Road Scenarios,F. Zhou; B. Deng; S. Wang,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
65,Applications of Cucumber on Automated Functional Simulation Testing,Y. Wang; L. Jia; H. Cao; Z. Jing; H. Huang,2021,String B,INCLUDE,Đáp ứng IC1 đến IC5
66,Batch Microfabrication of Boron-Doped Diamond-Based Microsensor for Seconds Level Measurement of Dual Parameters of Chemical Oxygen Demand and Conductivity in Tap Water,Y. Han; J. Li; S. Lu; P. Yang; J. Zhang; Z. Yu; J. Yin; Q. Jin,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
67,Reliability Analysis of a Computer-Based Interlocking System with a Double 2-out-of-2 Redundancy Structure using Algebraic Binary Decision Diagrams,W. Long; K. Wang; X. Wang,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
68,RiverGame - a game testing tool using artificial intelligence,C. Paduraru; M. Paduraru; A. Stefanescu,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
69,A Requirement-based Regression Test Selection Technique in Behavior-Driven Development,J. Xu; Q. Du; X. Li,2021,String B,INCLUDE,Đáp ứng IC1 đến IC5
70,EDDY: A Multi-Core BDD Package With Dynamic Memory Management and Reduced Fragmentation,R. Krauss; M. Goli; R. Drechsler,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
71,Empirical Studies on M-X Algorithm Implementation in Tester Eligibility Classification for Crowdsourced Based User Acceptance Testing,G. S. Dhamang Aji; D. Sulistiyo Kusumo,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
72,Ontology-Based Approach to the Requirements Engineering in Agile Environment,M. S. Murtazina; T. V. Avdeenko,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
73,"Behavior-Driven Development as an Approach to Improve Software Quality and Communication Across Remote Business Stakeholders, Developers and QA: two Case Studies",A. Scandaroli; R. Leite; A. H. Kiosia; S. A. Coelho,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
74,A Behavior-Driven Development and Reinforcement Learning Approach for Videogame Automated Testing,V. Mastain; F. Petrillo,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
75,A Separable BDD-based Analytical Method for Drone Mission Reliability Analysis,J. Ren; L. Xing,2026,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
76,Formal Analysis of Integer Multipliers by building Binary Decision Diagram of Adder Trees,J. Kumar; A. Srivastava; M. Fujita,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
77,Special Session Paper: Application of Functional Verification Techniques in Hardware Trust,M. R. Heidari Iman; R. Drechsler; C. K. Jha; A. Azarpeyvand; T. Ghasempouri; S. Imtiaz; J. Raik; S. Germiniani; D. Nicoletti; G. Pravadelli; G. Di Natale,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
78,D2BGAN: A Dark to Bright Image Conversion Model for Quality Enhancement and Analysis Tasks Without Paired Supervision,J. Bhattacharya; S. Modi; L. Gregorat; G. Ramponi,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
79,Codeless and Scalable Solution For Microservice Test Automation,A. Chatterjee,2025,String B,INCLUDE,Đáp ứng IC1 đến IC5
80,Low-Light Image Enhancement Using QRCP Decomposition in HSV Space,M. Ye; C. Hu; B. Jiao; W. Liu; G. Zhang; T. Ye,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
81,Review on Early Prediction of Body Dysmorphic Disorder Using Machine Learning,H. Saini; S. Kumar Prasad,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
82,AI-Enabled Augmented Reality in the Medical Industry: Revolutionize User Experience,V. S. Vadivel; P. Jampanaun; M. V. Sasan; H. H. Aung; C. K. Ho; C. L. Kok,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
83,API Test Case Generation by Extracting HTTP Requests During Front-End Testing,Y. -J. Guo; S. -P. Ma; H. -J. Peng; Y. -S. Su,2024,String B,INCLUDE,Đáp ứng IC1 đến IC5
84,Correct and Verify—CAV: Exploiting Binary Decision Diagrams to Enable Formal Verification of Approximate Adders With Correct Carry Bits,C. K. Jha; K. Qayyum; M. Hassan; R. Drechsler,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
85,System Architecture Modelling of Sugarcane Agroindustry Machinery Anomaly Detection Through Machine Learning,T. T. Baladraf; T. Djatna; A. F. Hidayat; A. Fatikhudin,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
86,Smart Contract-Based Decentralized Data Sharing and Content Delivery for Intelligent Connected Vehicles in Edge Computing,C. Li; Y. Zhang; J. Wu; Y. Luo; S. Yu,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
87,The effect of Test-Driven Development and Behavior-Driven Development on Project Success Factors: A Systematic Literature Review Based Study,H. M. Abushama; H. A. Alassam; F. A. Elhaj,2021,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
88,A Segmentation-Driven Editing Method for Bolt Defect Augmentation and Detection,Y. Xiao; K. Zhang; J. Wang; X. Sheng; Y. Guo; M. Chen; Z. Ren; Z. Zheng; Z. Zhao,2026,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
89,Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation,S. Karpurapu; S. Myneni; U. Nettur; L. S. Gajja; D. Burke; T. Stiehm; J. Payne,2024,String B,INCLUDE,Đáp ứng IC1 đến IC5
90,An approach to apply Automated Acceptance Testing for Industrial Robotic Systems,M. G. D. Santos; F. Petrillo; S. Hallé; Y. -G. Guéhéneuc,2022,String B,INCLUDE,Đáp ứng IC1 đến IC5
91,An open-source framework for cross-platform testing in agile projects,I. Yanjari; B. Marín; G. Giachetti,2022,String B,INCLUDE,Đáp ứng IC1 đến IC5
92,Detection of False Data Injection Attacks in Smart Grids Under Power Fluctuation Uncertainty Based on Deep Learning,D. Hu; Y. Dong; J. Wang; D. Shi,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
93,Adaptive Local Clustering Over Attributed Graphs,H. Zheng; R. Yang; J. Xu,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
94,Developing contents for t-learning — MADCE-TVD,A. X. R. Gamboa; J. J. Builes; D. E. S. Duran,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
95,Architecture of Automated User Interface based Tests with Protocol-Oriented Programming paradigm,J. L. Basiszta; A. Kovari; J. Katona,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
96,MoFQA: An Approach for Automatic TDD Test Case Generation from MDD Models,L. Riquelme; M. González; N. Aquino; L. Cernuzzi,2018,String B,INCLUDE,Đáp ứng IC1 đến IC5
97,A Cloud–Edge Collaborative Architecture for Multimodal LLM-Based Advanced Driver Assistance Systems in IoT Networks,Y. Hu; D. Ye; J. Kang; M. Wu; R. Yu,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
98,An Approximate Message Passing Framework for Side Information,A. Ma; Y. Zhou; C. Rush; D. Baron; D. Needell,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
99,EchoTrack: Auditory Referring Multi-Object Tracking for Autonomous Driving,J. Lin; J. Chen; K. Peng; X. He; Z. Li; R. Stiefelhagen; K. Yang,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
100,DSNet: A Novel Way to Use Atrous Convolutions in Semantic Segmentation,Z. Guo; L. Bian; H. Wei; J. Li; H. Ni; X. Huang,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
101,Enhancing Traffic Safety with Parallel Dense Video Captioning for End-to-End Event Analysis,M. Shoman; D. Wang; A. Aboah; M. Abdel-Aty,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
102,Dual-Mode Serial Night Road Object Detection Model Based on Depthwise Separable and Self-Attention Mechanism,Q. Yang; Y. Ma; L. Li; Z. Zhao,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
103,Development and testing of an image transformer for explainable autonomous driving systems,J. Dong; S. Chen; M. Miralinaghi; T. Chen; S. Labi,2022,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
104,Model Checking Coordination of CPS Using Timed Automata,K. Jiang; C. Guan; J. Wang; D. Du,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
105,Top-Down Attention-Based Mechanisms for Interpretable Autonomous Driving,Z. Fu; K. Jiang; Y. Xu; Y. Wang; T. Wen; H. Gao; Z. Zhong; D. Yang,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
106,Improving Explainable Object-induced Model through Uncertainty for Automated Vehicles,S. Ling; Y. Wan; X. Jia; N. Du,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
107,Data Limitations for Modeling Top-Down Effects on Drivers’ Attention,I. Kotseruba; J. K. Tsotsos,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
108,On-Policy Dataset Synthesis for Learning Robot Grasping Policies Using Fully Convolutional Deep Networks,V. Satish; J. Mahler; K. Goldberg,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
109,Locational Detection of the False Data Injection Attack in a Smart Grid: A Multilabel Classification Approach,S. Wang; S. Bi; Y. -J. A. Zhang,2020,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
110,Uncertainty Exploration: Toward Explainable SAR Target Detection,Z. Huang; Y. Liu; X. Yao; J. Ren; J. Han,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
111,ReIDTracker_Sea: Multi-Object Tracking in Maritime Computer Vision,K. Huang; W. Chong; H. Yang; K. Lertniphonphan; J. Xie; F. Chen,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
112,Comparing Chi-square-Based Bad Data Detection Algorithms for Distribution System State Estimation,J. Angulo-Paniagua; J. Quirós-Tortós,2020,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
113,Top-k Query for Weighted Interactive Product Configuration,B. Chen; T. Feng,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
114,Kraken-Mobile: Cross-Device Interaction-Based Testing of Android Apps,W. Ravelo-Méndez; C. Escobar-Vélasquez; M. Linares-Vásquez,2019,String B,INCLUDE,Đáp ứng IC1 đến IC5
115,Privacy and Security Documents for Agile Software Engineering: An Experiment of LGPD Inventory Adoption,J. Saraiva; S. Soares,2023,String B,INCLUDE,Đáp ứng IC1 đến IC5
116,Nighttime Vehicle Detection Algorithm Enhanced by NightvisionGAN,S. Zhang; Y. Tong,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
117,Automatic Adaptation of Object Detectors to New Domains Using Self-Training,A. RoyChowdhury; P. Chakrabarty; A. Singh; S. Jin; H. Jiang; L. Cao; E. Learned-Miller,2019,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
118,Graph theoretical defense mechanisms against false data injection attacks in smart grids,M. H. Ansari; V. T. Vakili; B. Bahrak; P. Tavassoli,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
119,Decomposition of power system state estimation problem as a method to tackle cyber attacks,I. Kolosok; E. Korkina,2018,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
120,Introspection of 2D Object Detection using Processed Neural Activation Patterns in Automated Driving Systems,H. Y. Yatbaz; M. Dianati; K. Koufos; R. Woodman,2023,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
121,Deep Learning Based Localization Detection Technique for False Data Injection Attacks,H. Chen; J. Wang; Y. Zhu; Y. Si,2024,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
122,Revisiting Out-of-Distribution Detection in Real-Time Object Detection: From Benchmark Pitfalls to a New Mitigation Paradigm,C. Wu; W. He; C. -H. Cheng; X. Huang; S. Bensalem,2026,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
123,ExplainDrive: A Multimodal Chain-of-Thought Reasoning Approach for Explainable Automated Driving Systems,X. Yu; J. Peng; H. Li; E. Li; D. Du,2025,String B,EXCLUDE,EC4: Chỉ bàn về test execution/maintenance — không về test generation
